id,seq,dec,raw_t,raw_tgo,d_sender,d_self,d_self_sender,raw_timeout
0,0,1,297174910285794,0,0,0,0,297174910285794
1,0,1,297174911238438,0,0,0,0,297174911238438
0,1,1,297174911285794,0,0,0,0,297174911285794
1,1,1,297174912238438,0,0,0,0,297174912238438
0,2,1,297174912285794,0,0,0,0,297174912285794
1,2,1,297174913238438,0,0,0,0,297174913238438
0,3,1,297174913285794,0,0,0,0,297174913285794
1,3,1,297174914238438,0,0,0,0,297174914238438
3,0,1,297174914247997,0,0,0,0,297174914247997
0,4,1,297174914285794,0,0,0,0,297174914285794
4,0,1,297174915233739,0,0,0,0,297174915233739
1,4,1,297174915238438,0,0,0,0,297174915238438
3,1,1,297174915247997,0,0,0,0,297174915247997
0,5,1,297174915285794,0,0,0,0,297174915285794
4,1,1,297174916233739,0,0,0,0,297174916233739
1,5,1,297174916238438,0,0,0,0,297174916238438
3,2,1,297174916247997,0,0,0,0,297174916247997
0,6,1,297174916285794,0,0,0,0,297174916285794
5,0,1,297174916295715,0,0,0,0,297174916295715
4,2,1,297174917233739,0,0,0,0,297174917233739
1,6,1,297174917238438,0,0,0,0,297174917238438
6,0,1,297174917247360,0,0,0,0,297174917247360
3,3,1,297174917247997,0,0,0,0,297174917247997
0,7,1,297174917285794,0,0,0,0,297174917285794
5,1,1,297174917295715,0,0,0,0,297174917295715
4,3,1,297174918233739,0,0,0,0,297174918233739
1,7,1,297174918238438,0,0,0,0,297174918238438
6,1,1,297174918247360,0,0,0,0,297174918247360
3,4,1,297174918247997,0,0,0,0,297174918247997
7,0,1,297174918267887,0,0,0,0,297174918267887
0,8,1,297174918285794,0,0,0,0,297174918285794
5,2,1,297174918295715,0,0,0,0,297174918295715
4,4,1,297174919233739,0,0,0,0,297174919233739
1,8,1,297174919238438,0,0,0,0,297174919238438
6,2,1,297174919247360,0,0,0,0,297174919247360
3,5,1,297174919247997,0,0,0,0,297174919247997
8,0,1,297174919253737,0,0,0,0,297174919253737
7,1,1,297174919267887,0,0,0,0,297174919267887
0,9,1,297174919285794,0,0,0,0,297174919285794
5,3,1,297174919295715,0,0,0,0,297174919295715
4,5,1,297174920233739,0,0,0,0,297174920233739
1,9,1,297174920238438,0,0,0,0,297174920238438
6,3,1,297174920247360,0,0,0,0,297174920247360
9,0,1,297174920247360,0,0,0,0,297174920247360
3,6,1,297174920247997,0,0,0,0,297174920247997
8,1,1,297174920253737,0,0,0,0,297174920253737
7,2,1,297174920267887,0,0,0,0,297174920267887
0,10,1,297174920285794,0,0,0,0,297174920285794
5,4,1,297174920295715,0,0,0,0,297174920295715
4,6,1,297174921233739,0,0,0,0,297174921233739
1,10,1,297174921238438,0,0,0,0,297174921238438
9,1,1,297174921247360,0,0,0,0,297174921247360
6,4,1,297174921247360,0,0,0,0,297174921247360
3,7,1,297174921247997,0,0,0,0,297174921247997
8,2,1,297174921253737,0,0,0,0,297174921253737
10,0,1,297174921256843,0,0,0,0,297174921256843
7,3,1,297174921267887,0,0,0,0,297174921267887
0,11,1,297174921285794,0,0,0,0,297174921285794
5,5,1,297174921295715,0,0,0,0,297174921295715
4,7,1,297174922233739,0,0,0,0,297174922233739
1,11,1,297174922238438,0,0,0,0,297174922238438
9,2,1,297174922247360,0,0,0,0,297174922247360
6,5,1,297174922247360,0,0,0,0,297174922247360
3,8,1,297174922247997,0,0,0,0,297174922247997
8,3,1,297174922253737,0,0,0,0,297174922253737
10,1,1,297174922256843,0,0,0,0,297174922256843
7,4,1,297174922267887,0,0,0,0,297174922267887
0,12,1,297174922285794,0,0,0,0,297174922285794
5,6,1,297174922295715,0,0,0,0,297174922295715
4,8,1,297174923233739,0,0,0,0,297174923233739
1,12,1,297174923238438,0,0,0,0,297174923238438
9,3,1,297174923247360,0,0,0,0,297174923247360
6,6,1,297174923247360,0,0,0,0,297174923247360
3,9,1,297174923247997,0,0,0,0,297174923247997
8,4,1,297174923253737,0,0,0,0,297174923253737
10,2,1,297174923256843,0,0,0,0,297174923256843
7,5,1,297174923267887,0,0,0,0,297174923267887
0,13,1,297174923285794,0,0,0,0,297174923285794
5,7,1,297174923295715,0,0,0,0,297174923295715
11,0,1,297174924222232,0,0,0,0,297174924222232
4,9,1,297174924233739,0,0,0,0,297174924233739
1,13,1,297174924238438,0,0,0,0,297174924238438
9,4,1,297174924247360,0,0,0,0,297174924247360
6,7,1,297174924247360,0,0,0,0,297174924247360
3,10,1,297174924247997,0,0,0,0,297174924247997
8,5,1,297174924253737,0,0,0,0,297174924253737
10,3,1,297174924256843,0,0,0,0,297174924256843
7,6,1,297174924267887,0,0,0,0,297174924267887
0,14,1,297174924285794,0,0,0,0,297174924285794
5,8,1,297174924295715,0,0,0,0,297174924295715
11,1,1,297174925222232,0,0,0,0,297174925222232
4,10,1,297174925233739,0,0,0,0,297174925233739
12,0,1,297174925235950,0,0,0,0,297174925235950
1,14,1,297174925238438,0,0,0,0,297174925238438
6,8,1,297174925247360,0,0,0,0,297174925247360
9,5,1,297174925247360,0,0,0,0,297174925247360
3,11,1,297174925247997,0,0,0,0,297174925247997
8,6,1,297174925253737,0,0,0,0,297174925253737
10,4,1,297174925256843,0,0,0,0,297174925256843
7,7,1,297174925267887,0,0,0,0,297174925267887
0,15,1,297174925285794,0,0,0,0,297174925285794
5,9,1,297174925295715,0,0,0,0,297174925295715
11,2,1,297174926222232,0,0,0,0,297174926222232
4,11,1,297174926233739,0,0,0,0,297174926233739
12,1,1,297174926235950,0,0,0,0,297174926235950
1,15,1,297174926238438,0,0,0,0,297174926238438
9,6,1,297174926247360,0,0,0,0,297174926247360
6,9,1,297174926247360,0,0,0,0,297174926247360
3,12,1,297174926247997,0,0,0,0,297174926247997
8,7,1,297174926253737,0,0,0,0,297174926253737
10,5,1,297174926256843,0,0,0,0,297174926256843
7,8,1,297174926267887,0,0,0,0,297174926267887
0,16,1,297174926285794,0,0,0,0,297174926285794
5,10,1,297174926295715,0,0,0,0,297174926295715
11,3,1,297174927222232,0,0,0,0,297174927222232
4,12,1,297174927233739,0,0,0,0,297174927233739
12,2,1,297174927235950,0,0,0,0,297174927235950
1,16,1,297174927238438,0,0,0,0,297174927238438
9,7,1,297174927247360,0,0,0,0,297174927247360
6,10,1,297174927247360,0,0,0,0,297174927247360
3,13,1,297174927247997,0,0,0,0,297174927247997
8,8,1,297174927253737,0,0,0,0,297174927253737
10,6,1,297174927256843,0,0,0,0,297174927256843
7,9,1,297174927267887,0,0,0,0,297174927267887
0,17,1,297174927285794,0,0,0,0,297174927285794
5,11,1,297174927295715,0,0,0,0,297174927295715
11,4,1,297174928222232,0,0,0,0,297174928222232
4,13,1,297174928233739,0,0,0,0,297174928233739
12,3,1,297174928235950,0,0,0,0,297174928235950
1,17,1,297174928238438,0,0,0,0,297174928238438
9,8,1,297174928247360,0,0,0,0,297174928247360
6,11,1,297174928247360,0,0,0,0,297174928247360
3,14,1,297174928247997,0,0,0,0,297174928247997
8,9,1,297174928253737,0,0,0,0,297174928253737
10,7,1,297174928256843,0,0,0,0,297174928256843
7,10,1,297174928267887,0,0,0,0,297174928267887
14,0,1,297174928275068,0,0,0,0,297174928275068
0,18,1,297174928285794,0,0,0,0,297174928285794
5,12,1,297174928295715,0,0,0,0,297174928295715
